name	id	id_without_compartment	base_to_work_from	difference	base_smiles	modified_smiles
cholesterol-ester-10,13,16-docosa	MAM01453r	MAM01453	MAM00264r	replace coa with cholesterol	CCCCC/C=C\C/C=C\C/C=C\CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	CCCCC/C=C\C/C=C\C/C=C\CCCCCCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
Octadecynoyl-ACP (N-C18:2ACP)	MAM03788c	MAM03788	MAM03787c	from acid add ACP	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O	CCCCC/C=C\C/C=C\CCCCCCCC(=O)S
cholesterol-ester-cis-vac	MAM01489r	MAM01489	MAM01586r	replace coa with cholesterol	CCCCCC/C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)C(O)[C@H]1OP(=O)(O)O	CCCCCC/C=C/CCCCCCCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
trans,cis-myristo-2,7-dienoyl-CoA	MAM03023x	MAM03023	MAM01574m	remove OHH 	CCCCCC/C=C\CCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]	CCCCCC/C=C\CCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1O[C@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]
cholesterol-ester-7-tetrade	MAM01479r	MAM01479	MAM00117l	replace acid with cholesterol	CCCCCC/C=C\CCCCCC(=O)O	CCCCCC/C=C\CCCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
1-acylglycerol-3P-7-tetrade	MAM00463c	MAM00463	5497152	add tetrade	OCC(O)CO[P](=O)(O)O	CCCCCC/C=C\CCCCCC(=O)OCC(O)COP(=O)(O)O
cholesterol-ester-13-eicose	MAM01463r	MAM01463	MAM00017l	replace acid with cholesterol	CCCCCC/C=C\CCCCCCCCCCCC(=O)O	CCCCCC/C=C\CCCCCCCCCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
cholesterol-ester-9-heptade	MAM01485r	MAM01485	MAM01237r	replace coa with cholesterol	CCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	CCCCCCC/C=C\CCCCCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
Tetradecenoyl Coenzyme A (N-C14:1)	MAM04040m	MAM04040	http://vm-trypanocyc.toulouse.inra.fr/META/new-image?object=CPD0-2228			CCCCCCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-]
(2E)-undecenoyl-[ACP]	MAM00070c	MAM00070	5282728	acid to coa to apc	CCCCCCCC/C=C/C(=O)O	CCCCCCCC/C=C/C(=O)S
cholesterol-ester-9-octa	MAM01486r	MAM01486	MAM01778l	replace coa with cholesterol	CCCCCCCC/C=C/CCCCCCCC(=O)[O-]	CCCCCCCC/C=C/CCCCCCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
cholesterol-ester-5,8,11-eico	MAM01469r	MAM01469	MAM00101r	replace coa with cholesterol	CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
